,HIAA80,90837,CPT4,768,11,MHMO,205
,REF,90837,CPT4,AK01,11,MC,173.83
,HIAA80,90837,CPT4,762,11,HMOHRA,231
,HIAA80,90837,CPT4,232,11,MEFFS,186
,HIAA80,90837,CPT4,394,11,DHMO,205
,HIAA80,90837,CPT4,200,11,USACC,257
,HIAA80,90837,CPT4,660,11,TC,185
,HIAA80,90837,CPT4,640,11,MPPO,176
,HIAA80,90837,CPT4,549,11,DPPO,413
,HIAA80,90837,CPT4,928,11,MEPOS,277
,HIAA80,90837,CPT4,201,11,DPPO,273
,REF,90837,CPT4,AK01,11,QPOS,153.38
,HIAA80,90837,CPT4,065,11,SLFIN,205
,HIAA80,90837,CPT4,550,11,MEFFS,257
,HIAA80,90837,CPT4,111,11,MCAID,256
,HIAA80,90837,CPT4,150,11,HMO,185
,HIAA80,90837,CPT4,240,11,SLFIN,189
,HIAA80,90837,CPT4,328,11,MC,273
,HIAA80,90837,CPT4,850,11,,251
,REF,90837,CPT4,AK01,11,NNHMO,191.95
,HIAA80,90837,CPT4,437,11,MEPOS,205
,REF,90837,CPT4,AK01,11,DPPO,225.83
,HIAA80,90837,CPT4,765,11,HMO,241
,HIAA80,90837,CPT4,913,11,ALL,276
,HIAA80,90837,CPT4,669,11,HMO,201
,HIAA80,90837,CPT4,352,11,MEPPO,179
,HIAA80,90837,CPT4,590,11,QPOS,190
,HIAA80,90837,CPT4,486,11,MEHMO,215
,HIAA80,90837,CPT4,224,11,TRICR,195
,HIAA80,90837,CPT4,939,11,HMO,231
,HIAA80,90837,CPT4,111,11,DPPO,256
,HIAA80,90837,CPT4,434,11,TRICR,185
,HIAA80,90837,CPT4,335,11,MEHMO,284
,HIAA80,90837,CPT4,611,11,MHMO,257
,HIAA80,90837,CPT4,278,11,MC,246
,HIAA80,90837,CPT4,467,11,NNHMO,180
,HIAA80,90837,CPT4,441,11,DHMO,257
,HIAA80,90837,CPT4,313,11,MEPOS,205
,HIAA80,90837,CPT4,352,11,MEPO,179
,HIAA80,90837,CPT4,591,11,MCAID,205
,HIAA80,90837,CPT4,220,11,USACC,231
,REF,90837,CPT4,AK01,11,MWC,225.83
,HIAA80,90837,CPT4,475,11,USACC,293
,HIAA80,90837,CPT4,308,11,POS,225
,HIAA80,90837,CPT4,996,11,MEFFS,266
,REF,90837,CPT4,AK01,11,EAP,204.5
,HIAA80,90837,CPT4,768,11,MWC,205
,HIAA80,90837,CPT4,605,11,MC,256
,HIAA80,90837,CPT4,113,11,ALL,308
,HIAA80,90837,CPT4,017,11,MC,226
,HIAA80,90837,CPT4,604,11,MEHMO,241
,HIAA80,90837,CPT4,893,11,USACC,257
,HIAA80,90837,CPT4,381,11,MC,201
,HIAA80,90837,CPT4,496,11,MPPO,215
,HIAA80,90837,CPT4,765,11,QPOS,241
,REF,90837,CPT4,AK01,11,MCAID,204.5
,HIAA80,90837,CPT4,226,11,EAP,233
,HIAA80,90837,CPT4,448,11,POS,175
,HIAA80,90837,CPT4,495,11,TRICR,205
,REF,90837,CPT4,AK01,11,TC,225.83
,HIAA80,90837,CPT4,537,11,MHMO,251
,HIAA80,90837,CPT4,448,11,MEPO,175
,HIAA80,90837,CPT4,296,11,TRICR,185
,REF,90837,CPT4,AK01,11,HMOHRA,169.37
,HIAA80,90837,CPT4,066,11,MCARE,225
,HIAA80,90837,CPT4,805,11,MEFFS,274
,HIAA80,90837,CPT4,800,11,HMOHRA,260
,HIAA80,90837,CPT4,486,11,MEFFS,215
,HIAA80,90837,CPT4,840,11,POS,185
,HIAA80,90837,CPT4,537,11,TRICR,251
,REF,90837,CPT4,AK01,11,DHMO,225.83
,HIAA80,90837,CPT4,230,11,TRICR,204
,HIAA80,90837,CPT4,703,11,HMOAVN,154
,HIAA80,90837,CPT4,341,11,POS,302
,HIAA80,90837,CPT4,411,11,MCARE,204
,HIAA80,90837,CPT4,910,11,ALL,256
,HIAA80,90837,CPT4,460,11,HMOHRA,205
,HIAA80,90837,CPT4,331,11,MEHMO,358
,HIAA80,90837,CPT4,296,11,NNHMO,185
,HIAA80,90837,CPT4,153,11,MC,179
,HIAA80,90837,CPT4,454,11,TRICR,179
,HIAA80,90837,CPT4,100,11,MWC,364
,HIAA80,90837,CPT4,531,11,TRICR,288
,HIAA80,90837,CPT4,335,11,MEPO,284
,HIAA80,90837,CPT4,841,11,MEPOS,185
,HIAA80,90837,CPT4,140,11,QPOS,201
,HIAA80,90837,CPT4,570,11,POS,231
,REF,90837,CPT4,AK01,11,MEPPO,153.38
,HIAA80,90837,CPT4,482,11,MC,231
,HIAA80,90837,CPT4,313,11,TRICR,205
,HIAA80,90837,CPT4,111,11,HMOAVN,256
,HIAA80,90837,CPT4,483,11,POS,232
,HIAA80,90837,CPT4,618,11,MPPO,211
,REF,90837,CPT4,AK01,11,ALL,204.5
,HIAA80,90837,CPT4,752,11,MEPPO,220
,HIAA80,90837,CPT4,770,11,MEPOS,352
,HIAA80,90837,CPT4,710,11,DHMO,179
,HIAA80,90837,CPT4,571,11,TRICR,251
,HIAA80,90837,CPT4,230,11,MCAID,204
,HIAA80,90837,CPT4,200,11,TC,257
,HIAA80,90837,CPT4,563,11,EAP,258
,HIAA80,90837,CPT4,300,11,,226
,HIAA80,90837,CPT4,407,11,MC,211
,REF,90837,CPT4,AK01,11,MHMO,204.5
,HIAA80,90837,CPT4,550,11,NNHMO,257
,HIAA80,90837,CPT4,544,11,HMOAVN,257
,HIAA80,90837,CPT4,440,11,EAP,216
,HIAA80,90837,CPT4,481,11,DPPO,231
,HIAA80,90837,CPT4,394,11,MEPO,205
,HIAA80,90837,CPT4,554,11,DHMO,251
,HIAA80,90837,CPT4,222,11,TC,273
,HIAA80,90837,CPT4,488,11,ALL,226
